文本,价格,外观,质量
花型 好看 质量 满意 全 分 好评 ,0,1,1
外观设计 耐看   表面 手感 手感 不错   美观 程度 美观 大气 ,0,1,1
京东 买 两个 砂锅 一段时间 感觉 质量 颜值 在线 煮粥 看着 顶盖 冒出来 炖汤 冒出来 喜欢 ,0,1,1
第二天 送到 点赞   砂锅 样式 好看 蓝色 锅盖 看着 想 做饭 ,0,1,0
厅里 摆件 少 点 摆放 感觉 色彩 鲜艳夺目 ,0,1,0
看起 不错 好看 ,0,1,0
质量 不错 陶瓷 物流 慢 点 ,0,0,1
包装 价格便宜 品质 干净 瑕疵 ,1,0,1
收到 物流 挺快 包装 严实 破损 双 筷子 勺 盘子 碗 质量 特别 特别 喜欢 特别 好看 破损 非常感谢 下次 购买 ,0,1,1
好几家 砂锅 买 爱仕达 打开 包装 特别 打碎 红色 盖子 喜庆 锅子 挺大 一家 四口 熬汤 够用 明 早先 熬点 稀饭 试试 锅子 不错 保温 值得 购买 ,0,1,1
颜值 在线 一款 砂锅 炖汤 煮 海鲜 粥 太 美味 ,0,1,0
表面 手感 手感   实用 效果 宿舍 实用   特色 高端 大气 ,0,1,1
很漂亮 一套 碗盘 后悔 买少 买 一套 可惜 活动 价了 ,1,1,0
包装 精致 手感 外观 不错 认真负责 ,0,1,1
挺 好看 摸 舒服 满意 ,0,1,1
挺 好看 做工 精致 ,0,1,1
质量 不错 样式 很漂亮 价格便宜 ,1,1,1
老婆 刚生 完 宝宝 坐月子 买来 老婆 熬汤 炖菜 大小 刚刚 合适 设计 顺手 小熊 家 东西 一如既往 值得 推荐 一款 砂锅 ,0,1,0
发货 超级 慢 做工 小鹿 塑料 材质 劣质,0,0,-1
家里 老人家 喜欢 炖汤 砂锅 好久 换 买个 6.5 升 大小 炖锅 家里 四个 足够 京东 物流 给力 目前为止 满意 ,0,1,0
想买个 砂锅 煲 品牌 评价 选择 买 优惠活动 价格 优惠 整体 不错 ,1,0,0
买家  瓷盘 厚度 磕 缺口 划到 5.5 价格 划算 ,1,0,-1
棒 购物 价格 赶上 优惠 真省 包装 完美 遇上 大雪 天 小哥 送货上门 属实 感动 产品 美观 实用 价位 知足 一步 尽情 展示 厨艺 ,1,1,1
买 妈妈 砂锅 收到 3.2 升 容量 很大 妈妈 喜欢 说 这下 炖 整只 苏泊尔 牌子 值得 信赖 看着 外观 好看 段时间 再来 追评 京东 物流 昨晚 刚下 收到 喜欢 喜欢 这下 好好 炖汤 ,0,1,0
碗 说 好坏 说 售后服务 值得 说 碗 拿到 碎 找 申请 售后 审核 很快 碗 当天 只能 说 京东 售后 厉害 给力 碗 挺 漂亮 ,0,1,-1
不错 釉质 表面 光滑 隔热 效果 不错 喜欢 好评 ,0,0,1
宝贝 收到 实物 好看 价格 实惠 强烈推荐 款 超级 喜欢 描述 很显 高档 物美价廉 买 朋友 下单 噢 宝贝 收到 质量 不错 包装 精致 材质 优秀 想象 中好 送礼 自用 合适 下次 购买 ,1,1,1
美观 程度 大气 上档次   外观设计 优美 ,0,1,0
黑色 锅身 稳重 大气 档次 宽 开口 放 大块 食物 大小 合适 适合 一家 三口 物流 上午 下单 下午 总体 满意 ,0,1,0
美观 程度 外观 很漂亮 幼稚 白色 好看   外观设计 外观设计 不错 高端 大气 上档次 手柄 设计 适合 人体 工程学   表面 手感 表面 光滑 不错   手工 工艺 做工 考究 白色 烧制 很漂亮   实用 效果 效果 盖子 勺子 喝咖啡 不错 ,0,1,1
包装 瑕疵 厚实 大小 适中 适合 家庭 日常 物流 很快 ,0,1,1
碗 大小 参考 喜欢 碗 装 食物 好看 ,0,1,0
砂锅 很赞 颜值 高 容量 物流 很快 ,0,1,0
颜值 在线 好看 可爱 一款 砂锅 大爱 ,0,1,0
烟灰缸 太漂亮 即能 装 烟灰 摆件 实用 美观 用心 包装 结实 安装 工具 想 周到 物美价廉 一款 商品 点赞 ,1,1,1
鱼盘 不错 好看 包装 细致 破损 ,0,1,1
京东 物流 天下第一 问 武功 唯快 最牛 小哥 配送 给力 碗碟 套装 数量 很足 包装 精美 手感 不错 隔热 效果 还行 字数 难凑 ,0,1,1
很漂亮 大小 合适 煮汤 一家 六口 合适 小熊 品牌 值得 信任 满意 京东 小哥 送上门 服务 超级 ,0,1,0
汤勺 质量 外观 不错 ,0,1,1
美观 程度 流利 外形   外观设计 喜欢 ,0,1,0
货品 包装 质量 杠杠 买 6L 容量 够用 人多时 速度 很快 收货 小哥 服务 ,0,1,1
质量 外观 好看 套装 东西 涵盖 大部分 场景 ,0,1,1
朋友 推荐 超 可爱 斑马 汤锅 系列 砂锅 汤锅 买 一整套 好看 实用 保温 性能 煲 老火 汤 性价比 高,1,1,1
漂亮 干净 无气味 喜欢 京东 力 ,0,1,0
喜欢 特别 好看 实体店 便宜 满意 ,1,1,0
锅 煲 汤 好喝 心 念念 很久 砂锅 买回来 第一天 第一次 小心 煲汤 溢出 满意 送货 不大不小 合适 喜欢 ,0,1,0
挺 态度 责任心 说 真心话 不错 买 东西 第一次 写 东西 性价比 高 谢谢 ,1,0,1
京东 自营 物流 值得 信赖 下单 第二天 收到 货 价格 暖心 超市 价格 优惠 容量 合适 担心 偏大些 收到 货 大小 合适 包装 完好 质感 锅 锅 质地 平滑 工艺 精细 一段时间 发现 推荐 购买 ,1,1,1
杯子 几种 款式 最终 选择 第二天 送货 不错   包装 舒服 外观 设计 美感 白色 杯 身 加一点 金线 勾 简单 简约 简单   杯子 异味 杯壁 光滑 如玉 舒服 多种 场景   其三 说 勺子 造型 美观 搭配 ,0,1,1
宝贝 收到 真心 好用 大火 小火 切换 煮 下午 煲 猪脚 熟 很快 软 糯 质量 质感 强 分量 足 敦实 厚重 好看 感觉 煲汤 利器 悔恨 买晚 早点 下手 省 麻烦 推荐 购买 托 满意 满意 ,0,1,1
杯子 难看 ,0,-1,0
质量 不错 配送 速度 快些 价格 实惠 ,1,0,1
买来 喝 奶茶 咖啡 杯子 不大不小 外观 好看 简单 清洗 值得 推荐 ,0,1,0
大小 合适 砂锅 煮 稀饭 米 煮 很烂 煲汤 煲 汤 锅 性价比 高 ,1,1,1
做工 精致 精美 造型 好看 不错 不错 ,0,1,1
爱仕达 出品 养生 煲 太 喜欢 漂亮 大方 美观 耐用 不贵 包装 破损 速达 送到 家门口 员 辛苦 ,1,1,1
熬 药用 锅 特意 买 想用 嘴 药量 办法 锅 质量 不错,0,0,1
配送 很快   完好无损 喜欢 纯白色 简简单单 大小 适合 价格 不贵 ,1,1,1
超大 容量 煲 整只 外观 精美 内在 清洗 厚实 保温,0,1,1
说用 陶瓷 煲 炖 汤 确实 非常简单 慢熬 规格 适合 炖 刚刚 清洗 不用 洗洁精 洗 干净 超级 实用 厨房用品 值得 推荐 品牌 放心 ,0,1,1
物流 不算 太快 东西 不错 摆上 好看 ,0,1,0
精致 送人 礼品 合适 ,0,0,1
漂亮 碗 颜色 图案 喜欢 质量 不错 ,0,1,1
担心 运 会碎 掉 收到 货 包装 到位 完好无损 样式 简单 干净 大小 适中 表面 光滑 放 水果 炒菜   糕点 挺 ,0,1,1
放 办公室 平时 喝茶 ,0,0,0
一眼 看中 砂锅 砂锅 很漂亮 可爱 京东 物流 送 宝贝 送过来 砂锅 包装 严实 破损 砂锅 质量 不错 摸 光滑 容量 很大 第一次 开锅 煮 一锅 大米 小米 稀饭 煮 排骨 鸡汤 棒 ,0,1,1
好看 不错 京东 品质 上乘,0,1,1
外观 颜值 喜欢 煲汤 熬粥 不错 水分 流失 保温 保证 原汁原味 喜欢 价格 不贵 一家 三口 够用 希望 坏 ,1,1,1
物超所值 话 说 四个 字 正品 信赖 宝贝 质感 价格 适中 无限 回购 从没 想过 实惠 价格 买 宝贝 性价比 高 喜欢 好看 ,1,1,1
美观 程度 好看   外观设计 简单 大方   表面 手感 手感 舒适   实用 效果 盛放 得水   特色 简单 大方 水杯 炒鸡 好看 实惠 强烈推荐 ,1,1,1
场景 地方 好看   美观 程度 美观   大小 尺寸 刚刚   工艺 品质 陶瓷 过得去   老板 客气 说 ,0,1,1
东西 挺好看 下次 关注 ,0,1,0
朋友 装修 买 作 礼物 送人 大气 美观 赞 ,0,1,0
不错 产品 颜色 图片 上白 回老家 拍照 后续 补 评价 ,0,1,0
疫情 一个月 收到 小小的 可爱 很漂亮 ,0,1,0
质感 不错 舒服 好看 ,0,1,1
赶上 618 活动 赶紧 买 两套 陶瓷 釉面 做工 精致 盘子 口径 感觉 盛 凉菜 筷子 勺子 一家人 足够 包装 放在 泡沫 箱里 包装 严实 ,1,1,1
漂亮 上档次 ,0,1,0
盘子 厚实 寸 买 寸 盘子 好多 东西 值得 购买 ,0,0,1
大小 合适 做工 精致 特别 喜欢 满意 京东 员 服务 特别 满意 ,0,1,1
宝贝 收到 好看 亮 马克 派 杯子 做工 精细 釉面 光滑 细腻 轻重 正好 手感 异味 送 勺子 不错 包装 破损 完美 购物 京东 自营 产品 祝 卖家 生意兴隆 递给 力 ,0,1,1
总体 不错 好看 几个 盘子 底边 粗糙 改进 ,0,1,-1
样子 好看 煲汤 耐用 锅 厚实 ,0,1,1
质量 运输 很快 这家 店买 东西 质量 不错 ,0,0,1
价格 划算 包装 物流 很快 ,1,0,0
东西 挺 厚实 服务态度 值得 购买 ,0,0,1
不错 出水 不漏水 整体 导热性 熬药 ,0,0,1
满意 杯子 款式 漂亮 大方 质量 杠杠 滴 味道 杯子 回来 感觉 精致 包装 全是 陶瓷 高端 大气 第二天 买 咖啡 精致 生活 ,0,1,1
评价 买 担心 路上 损坏 发现 包装 hao 担心 多余 说 说 品质 做工 细致 买 艺术品 喜欢 京东 物流 价格 实惠 物美价廉 ,1,1,1
几个 颜值 高度 性价比 高 保温 效果 超好 几个 小时 不凉 ,1,1,1
外观 包装 不错 好看  商品 挺好用   烫手   隔热 效果 一般般   瓷质 效果 毛边 扎 到手   反正 价格 便宜,1,1,-1
陶瓷 盘子 碗 家 质量 京东 买货 速度 早上 拍 下午 ,0,0,1
厚实 很漂亮 适合 泡茶 送给 老爷子 ,0,1,1
款 砂锅 质量 美观 煲汤 入味 清洗 耐高温 喜欢 推荐 同士 购买 同款 ,0,1,1
货 收到 好看 厚实 喜欢 ,0,1,1
包装 牢固 完好无损 ,0,0,1
很漂亮 很漂亮 ,0,1,0
大小 合适 买 6L 一家 三口 太大 款 果断 下手 超级 可爱 ,0,1,0
外观 包装 包装 收到 质量   美观 程度 仔细 套餐 具 颜色 很大 喜欢 图二 图四看 碗 盘子 略有 瑕疵 自用 影响 五星 好评   体验 装盘 效果 不错   价格 挺 实惠 ,1,1,1
很漂亮 损坏 挺 完整,0,1,1
包装 很棒 打开 惊喜 盘子 碗 式样 精致 喜欢 好看 好评 ,0,1,1
想 买 砂锅 很久没 喜欢 苏泊尔 搞 活动 砂锅 颜色 特别 漂亮 外形 好看 性价比 特别 高 做工 细节 特别 完美 底部 防滑 炖鸡 炖 粥 炖 骨头 特别 京东 服务 周到 很快 ,1,1,1
样子 好看 配上 红色 盖子 一丝 活力 质量 细腻 划痕 摸上去 手感 先 煮 一锅白 米粥 算是 开锅 做 红焖鸡 有炖 鸡汤 味道 棒棒 好喝 水放多 水会 煎 盖子 上放 一张 厨房 用纸 解决 砂锅 ,0,1,1
杯子 喜欢 网上 样子 good ,0,1,0
美观 程度 喜欢 杯口 一圈 金边 ,0,1,0
家里 缺 砂锅 逢年过节 炖肉 做菜 农村 锅 煮肉 速度 很快 保温 电饭锅 好看 ,0,1,1
款式 很大 质量 价钱 选购 方便快捷 小哥 态度 价格 给力 推荐 回购 特别 特别 棒 货比三家 买 店主人 回答 耐心 详细 还会 宝贝 棒 想要 那种 风格 到货 很快 谢谢 老板 服务 五颗星 ,1,1,1
不错 开煲 第一次 熬 稀饭 第二次 煲汤 味道 不错 颜色 好看 看着 舒心 ,0,1,0
美观 程度 色泽 很正 色差   外观设计 手柄 抓握   表面 手感 光滑 圆润   实用 效果 装 容量 ,0,1,1
物美价廉 一套 勺子 筷子 汤勺 不用 买 超级 划算 朋友 推荐 ,1,1,0
盘子 碗 磕碰 满意 京东 物流 好评 ,0,0,1
碗 描述 喜欢 可爱 ,0,1,0
圖片 一樣 漂亮 ,0,1,0
收到 货好 几天 忘 评价 评价 感觉 对不住 卖家 卖家 太好了 收到 货 安装 时 小心 弄裂 卖家 反馈 新发 良心 卖家 好评 烟灰缸 很漂亮 放心 买 ,0,1,0
不错 砂锅 颜值 高   拿到 煮 粥 一把 大米 四分之三 水 煮 小时 自然 晾凉 倒掉   第二天 煲 鸡汤 漏 挺不错 质量 可以 ,0,1,1
外观 材质 只能 说 不好 白是 工艺 实在 不敢恭维 淘宝 货 只能 买 1950 元 碗 换 件 瑕疵 介意 慎 拍 碗 毛糙 疙瘩 沟通 一句 天无 理由 退货 想着 买 买 换货 付 元 换货 ,-1,-1,-1
天气 凉 几天 网上 寻找 合适 砂锅 家人 做点 好吃 款 砂锅 评价 高 抱 试试 心态 买来 收到 货 造型 颜色 吸引 几次 太赞 推荐 购买 这款 ,0,1,0
到手 折开 品质 超过 想象 外观设计 很棒 手感 开水烫 洗后 ,0,1,1
卖家 不错 有个 瓶子 瑕疵 换 ,0,0,-1
不错 很漂亮 大小 合适 ,0,1,0
性价比 高 美观 美食 配美器 购物 体验 ,1,1,1
外观 包装 牢实   美观 程度 美观大方   商品 浇水 兑换   体验   瓷质 效果 行   一款 参加 活动 拿到 手 惊喜 没什么 瑕疵 划算 京东 确实 不错 ,1,1,1
杯子 质感 像是 陶瓷 有个 bug 盖子 合缝 ,0,0,-1
盘子 碗 质量 不错 釉面 光滑 图案 清新 加高 碗底 不易 烫手 一套 搭配 一家 四口 足 足够 包装 用心 加 隔层 运输 不易 损坏 物流 速度 商品 等待 喜欢 ,0,1,1
物品 收到 打开 包装 发现 质感 太好了 颜色 搭配 砂锅 整体 显得 高大 第一次 煮粥 味道 特别 棒 特别 炖鸡汤 滋味 太棒了 喜欢 ,0,1,1
美观 程度 很漂亮   瓷质 效果 手感 不错 景德镇   体验 满意 ,0,1,1
大小 合适 造型 古朴 质感 到货 当天 就试 炖 汤 不易 外溢 口感 香味 喜欢 ,0,1,1
两人用 正好 碗 具 ,0,1,0
碗 精致 喝 蜂蜜 感觉 特别 ,0,0,1
收到 包装 严实 破损 光泽 看着 高级 盘子 碗 勺子 双 筷子 质量 没得说 ,0,1,1
碗 好大 好沉 做工 颜色 好看 很小 清新 喜欢 运 包装 用心 力 ,0,1,1
杯子 摸 感觉 不错 ,0,0,1
宝贝 收到 真 漂亮 服务态度 物流 超快 昨天 买 今天上午 家 容量 很大 质量 不错 光滑 红色 盖子 配上 超 喜欢 五星 好评 朋友 想 买包 汤锅 犹豫 下单 宝贝 值得 拥有 下午 买 排骨 炖汤 激动 ,0,1,1
特别 好看 特别 质感 摸 特别 舒服 超 好看 一套 碗 ,0,1,1
别抱 太大 期望 颜色 效果 盘子 还会 太圆   超级 喜欢 京东 购物 送货 速度 价格 优惠 东西 保真 希望 老百姓 带来 实惠 一如既往 支持 支持 京东 希望 京东 越来越 东西 真 性价比 高 ,1,1,1
一段时间 评价 商品 不错 胚体 细腻 做工 拿来 煎药 ,0,0,1
图片 包装 破损 完整,0,0,1
家里 乔迁 新居 买 这款 菜盘 喜欢 颜色 纯白 瑕疵 不错 ,0,1,1
彩瓷 三件套 挺 好看 支持 家乡 瓷器 实业 ,0,1,0
质量 没想到 做工 精细   材质 美观大方 ,0,1,1
超值 厚实 值得 推荐 ,1,0,1
烟灰缸 质量 精美 瑕疵 描述 超值 好评 ,0,1,1
选 久 看重 款 容量 够 做工 品牌 购买 ,0,1,1
很漂亮 实用性 不错 ,0,1,1
质量 包装 不好 说 包装 不好  ,0,0,-1
产品 外观 漂亮 3.2 升 三四个 够用 苏泊尔 品牌 值得 信赖 物流 很快 ,0,1,0
破损 材质 不错 大小 价格便宜 满意 ,1,1,1
宝贝 质量 收到 货 第一 时间 打开 不错 满意   同事 搬新家 送礼 好大 一箱 细节 低调 奢华   不愧 ,0,1,1
颜色 正   喜欢   太好 ,0,1,0
外观 包装 包装 完美   商品 质量 优良   美观 程度 花型 漂亮   瓷质 效果 光滑 细腻 ,0,1,1
杯子 好看 没什么 瑕疵 超出 意外 满意 ,0,1,1
超级 喜欢 苏泊尔 这款 锅 看上 久 实物 多大 特意 跑 沃尔玛 超市 实物 超市 京东 当天 价格 满意 信赖 京东 收到 货 失望 当晚 锅 收拾 说 先用 熬粥 养锅 好喝 玉米粥 周末 在家 炖 半只 味道 太香 烧 牛肉 慢慢 炖 满意 保温 推荐 朋友 放心 下单 失望 颜值 超高 一款 锅 一家 三口 刚刚 ,1,1,1
好评 好评 喜欢 京东 购物 原因 发货 送货 物品 质量 保障 失望 一如既往 愉快 购物 体验 ,0,0,1
历来 喜欢 美观 陶瓷 双 价位 优惠 看好 一次性 购买 件 ,1,1,0
容量 三个 够用 超市 实惠 好多 ,1,1,0
不错   包装 结实   碗 很漂亮 ,0,1,1
美观 程度 美观 特别   外观设计 人性化 盖子 有放 勺子 空位   表面 手感 舒服   手工 工艺   实用 效果 好看 ,0,1,1
品牌 不错 质量 拿在手上 分量 不错 价格 美丽 超 优惠 ,1,0,1
包装 完美 大小 合适 质量 过关 颜值 高 真心 喜欢 橱柜 颜色 吻合 度高 太 适宜 ,0,1,1
漂亮 美观 喜欢 十分满意 ,0,1,0
家 买 两个 杯子 平心而论 两个 杯子 质量 确实 把手 下部 裂纹 不知情 情况 肯定 烫伤 解决 ,0,0,-1
颜色 喜欢 摸 质感 不错 百搭 包装 很大 气 送人 不错 选择 ,0,1,1
妈妈 熬 药用 看着 高端 大气 上档次 厚重 大小 熬 熬药 煲 煲汤 来个 土豆 炖牛肉 不错 喜欢 ,0,1,1
包装 收到 破损 买来 熬 中 药用 容量 合适 不错 几次 发现 ,0,1,1
手感 很沉 大小 合适 打算 做 砂锅 粥 砂锅 炖鸡 牌子 锅具 买 几次 便宜 耐用 第一个 汤锅 中意 它家 入手 方形 炸锅 再就是 砂锅 京东 购买 赶上 活动 优惠 满意 ,1,1,1
太 包装 做工 精细 特别 确实 满意 网购 还会 ,0,0,1
好久 回复 挺好用 洁净 ,0,0,1
被子 收到 质量 杠杠 物流 满意 下次 光顾 ,0,0,1
晚上 拍 第二天 送到 货 速度 质量 杠杠 瑕疵 异味 家里 锅 苏泊尔 值得 信赖 砂锅 煮 食物 口感 确实 ,0,0,1
简约 高档 精巧 别致 颜色 纯净 ,0,1,1
送货上门 大大小小 碗 完整 到家 破损 汤碗 小碗 盘子 稍微 差 点 总体 ,0,0,1
不错 锅 厚实 超级 好看   只用 砂锅 热 菜 热菜 效果 不错   下次 想用 做 煲仔饭 ,0,1,1
一款 不错 砂锅 炖菜 很快 很香 颜值 不错 包装 到位 牢固 瑕疵 这款 3L 足够 日常 炖菜 物流 ,0,1,1
好看 完美 谢谢 卖家 下次 光顾 谢谢 小哥 一个碗 破 ,0,1,0
物流 真 前天 拍下 宝贝 今天上午 到货 材质 不错 图案 可爱 容量 挺大 够 吃 老婆 迫不及待 中午 炖 砂锅 饭 特别 下次 买 泥 火匠 产品 ,0,1,1
物美价廉 一款 砂锅 份量 十足 做工 考究 精致 摸上去 手感 试着 做 几次 美味佳肴 确实 不同凡响 真材实料 不错 ,1,1,1
疫情 关系 迟迟 发货 卖家 态度 每次 回复   收到 商品 可爱 ,0,1,0
很漂亮 套装 京东 东西 值得 购买 质量 可以,0,1,1
美观 程度 看着 图片 好看   外观设计 一眼 看中 外观 可爱   表面 手感 手感 柔和 没什么 瑕疵   实用 效果 盖子 很难 保温 聊胜于无 很能 装 造型 清洗 ,0,1,1
手感 特别 好 前一天 买 第二天 ,0,0,1
质量 手感 不错 厚实 超级 喜欢 下次 ,0,0,1
一段时间 评价 质量 不错 细节 仔细 送 盖帽 防 烫手 不错 锅子 包装 结实 京东 物流 很快 价格 实惠 满意 值得 推荐 ,1,0,1
熬药 好用 药渣 散落 汤药 倒 把手 握 大小 合适 陶瓷 质感 ,0,1,1
恩 盘子 干干净净 美观 很快 上午 下单 下午 大热天 弟弟 哥哥 赞 ,0,1,0
盘子 盛菜 效果 显得 档次 卖家 包装 完整 精致 物流 值得 购买 ,0,1,1
宝贝 收到 看着 不错 想象 中 好看 检查 瑕疵 物流 很快 昨天 下单 包装 严实 希望 耐用 待用 评价 ,0,1,1
美观 程度 特别 美观   外观设计 设计 年代 感 偏小 一点 手拿着 舒服   表面 手感 做工 细腻 全杯 陶瓷   手工 工艺 精美   实用 效果 400ml 容量 足 足够 ,0,1,1
砂锅 收到 包装 严实 很快 送货到 家 试一下 ,0,0,1
咖啡杯 不错 性价比 高 舒服 放 办公室 不错 京东 买 东西 好快 ,1,0,1
包装 完美 收到 满意 好大 锅 足够 5.6 喝汤 明天 煮 锅汤 ,0,1,0
砂锅 买来 做 鸭 菜 大小 算 合适 质量 几次 没得 总体 好评 ,0,1,1
美观 程度 哑光 质感 太棒了 好看   实用 效果 每天晚上 泡 牛奶 咖啡 太好 ,0,1,1
外观 包装 包得 严实   美观 程度 好看   体验 点赞 ,0,1,1
做工 有待 提高   碎 说补 ,0,0,-1
价格 实惠 质量 杠杠 购物 下次 还来 正品 实体店 价格 优惠 果断 转粉 宝贝 棒 想要 那种 风格 到货 很快 谢谢 店家 高端 特别 棒 ,1,1,1
杯子 好看 诶 生日礼物 刚刚 合适   美观 程度 很棒   表面 手感 棒 ,0,1,1
说 买 完后 家 楼下 一模一样 碗 价格比 便宜 好多好多 一点点 小无语 碗 花纹 挺 好看 ,1,1,0
发货 速度 很快 破损 价格 做 活动 时 购买 算是 便宜 ,1,0,1
质量 掌柜的 服务态度 真 价位 算是 物有所值 喜欢 好看 行 本来 担心 质量 可以,1,1,1
哈哈哈哈   一分钱 买 价钱 自行车 质量 不错 ,1,0,1
宝贝 介绍 质感 功能强大 感觉 不错 值得 信赖 品牌 质量 保障 价格 亲民 满意 商品 满意 无限 回购 款 推荐 物超所值 商品 设计 完美 外观 高大 爱不释手 更是 热情 没话说 购物 满意 ,1,1,1
美观 程度 简单 大方 朴素   表面 手感 陶瓷 挺 光滑 拉手 ,0,1,1
黑 熊 孩子 喜欢 ,0,1,0
砂锅 质量 不错 很大 外观 漂亮 送货 凉水 激都 ,0,1,1
质量 不错 大小 合适 倒 不用 过滤 超级 好用 砂锅 好用 ,0,1,1
外观 包装 还好   美观 程度 挺 好看   花纹 喜欢   体验 轻盈 飘逸   隔热 效果 隔热   款式 新颖 独特   商品 勺子   碗   汤勺   汤碗 齐全   不错 选择   买 一套   喜欢   下手 一套   留着 备用   万 一不小心 摔坏   补 家里 亲朋好友 成套   美观   上档次 ,0,1,1
物美价廉 物超所值 到货 速度   外观 包装 包装 完好 到家   美观 程度 很漂亮 一套 件   商品 款式 新颖 时尚   体验 挺   瓷质 效果 釉面 光洁度 高 釉下彩 很漂亮   隔热 效果 不错 ,1,1,1
包装 白色 干净 瓷 质感 不错 超市 划算 ,1,1,1
产品 不错 服务 头次 发货 瓶子 变形 有漏 近一半 沟通 补发 信誉度 ,0,0,-1
买 碗 盘子 买 两个 盘子 配 成套 颜值 超高 成菜 菜品 提升 档次 喜欢 质量 包装 仔细 完好无损 ,0,1,1
六个 白瓷 盘子 请 英寸 大小 正好 物美价廉 实惠 质量 好,1,1,1
挺 质地 颜色 样式 喜欢 朋友 问 买 运输 过程 中 没坏 包装 ,0,1,1
家里 喝水 杯子 神兽 打烂   天气 热 太阳   懒得 出门 京东   看中 款 杯子   杯子 矮胖 型   容量 够   价格 合适   两个 型号 各买   隔天   质量 不错   盖子   送 勺子 不错   总体 满意 ,1,1,1
锅 很漂亮 女儿 特别 喜欢 图案 炖 鸡汤 味道 特别 锅 炖鸡 下次 买 熬粥 ,0,1,0
质量 好 包装 高大 精美 价格 小贵 购物 京东 一如既往 到货 速度 小哥 态度 下次 还会 购买 值得 推荐 ,-1,1,1
不错 砂锅 炖 冬瓜 虾仁 汤 不错 保温 效果 一顿 吃不完 下次 热 ,0,0,1
花瓶 托盘 一分钱 一分货 价格便宜 肯定 精致 那句话 一分钱 一分货 ,1,0,1
算是 划算 包装 ,1,0,0
外观 包装   美观 程度 不错 很漂亮   商品 商品 盘子 ,0,1,0
喜欢 颜色 大小 刚刚 奶粉 喝 自带 勺子 棒棒 ,0,1,0
大小 合适 精致 小锅 煮汤 煲 饭 炖肉 都行 开锅 好像 影响 居家 必备 单品 买买 买 ,0,1,1
隔热 效果 碗 隔热 值   外观 包装 包装 精美 送人   商品 碗 小巧 汤勺   体验 ,0,1,1
碗 漂亮 精美 质量 好 ldquo 鹏 rdquo 介绍 详细 服务态度 责任心 满意 购物 机会 还会 回购 ,0,1,1
特别 砂锅 颜值 没得说 大小 正好 实用 价格 合适 活动 便宜 块 特别 合适 ,1,1,1
好看 特别 漂亮 六个 包装 一家人 真够 破损 喜欢 质量 不错 ,0,1,1
十亓件 套餐 具 收到   外观 包装 严实   美观 程度 很漂亮   商品 厚实 物有所值 京东 商品 保障 感谢 感谢 京东 ,1,1,1
美观 程度 好看   表面 手感 手感   外观设计 不错   实用 效果 挺大   手工 工艺 很漂亮 ,0,1,1
发货 超快 买 东西 京东 碗 质量 杠杠 ,0,0,1
杯子 不错 漂亮 质量 挺好 ,0,1,1
杯子 不错 样子 好看 质量 盖子 勺子 不错 ,0,1,1
剑林 这套 北欧 风格 关注 喜欢 优惠 力度 太 划算 瑕疵 裂痕 上门 换 新 服务 人性化 满意 谢谢 京东 贴心 ,1,1,-1
好看 价格 便宜 质量 不错,1,1,1
物流 很快 第二天 早就 东西 物美价廉 一套 六个 白色 盘子 放 好看 颜控 买 没错 ,1,1,0
不错 合适 风格 质感 做工 棒棒 哒 希望 多点 颜色 选 ,0,1,1
喜欢 想 买 锅 质量 大小 正好 五口 到家 ,0,1,1
心仪已久 果断 下手 用过 感觉 不错 正品 力 名副其实 商品 满意 无限 回购 款 推荐 宝贝 收到 太 惊喜 质量 性价比 高 出乎 意料 满意 做工 物流 很棒 点赞 平时 便宜 囤 特别 特别 满意 超级 好看 礼貌 客气 良心 支持 购买 家庭 必备 购买 价格 实惠 送货 速度 很快 包装 精美 特别 特别 满意 超级 好看 礼貌 客气 良心 支持 正品 买 放心 价钱 公道 满意 正品 实体店 价格 优惠 果断 转粉 价格 超 优惠 性能 棒 完美 购物 质量 收到 货 第一 时间 打开 不错 满意 ,1,1,1
东西 外观 不错 看着 满意 ,0,1,0
物流 速度 泡沫 箱 包装 一点 损坏 瓷器 漂亮 雅致 做工 细腻 颜色 纯正 一共 件 ,0,1,1
药煲 到手 拿到 感觉 质量 挺 容量 刚刚 设计 款式 熬 中药 药效 盖子 防烫 胶 人性化 ,0,1,1
图片 一模一样 好看 送杯 垫 ,0,1,0
外观设计 好看 可爱   手工 工艺 光滑 细致   特色 咖啡 口感 细腻 丝滑 味道 纯正 老公 喜欢 喝 ,0,1,1
碟子 卖家 描述 够 漂亮 ,0,1,0
京东 购物 很多年 京东 自营 一如既往 大小 正合适 图案 很漂亮 ,0,1,0
实用 效果 瓷 老式 哪种 回家 盖子 坏 一种 访品 小孩子 不行 买 两个 盖子 坏 ,0,0,-1
牌子 货 质量 不错 包装 物流 很快 服务 周到 ,0,0,1
便宜 实惠 买 套 拿到 手 包装 完好 防震 效果 特别 物流 负责 盘子 完好 大小 合适 花纹 舒服 ,1,1,1
质量 没得说 做工 严谨 水杯 盖子 上边 圆球 偏 太 影响 美观 希望 ,0,-1,1
往家 买 两套 好看 质量 不错   外观 包装 包装 破损   美观 程度 不错 很漂亮 ,0,1,1
美观 程度 好看   难易 简单   不错 ,0,1,0
药罐 做工 细致 光滑 质量 美观 点赞 ,0,1,1
漂亮 杯子 价格 不贵 喝牛奶 合适 ,1,1,0
